Programa de financiaciÛn;Entidad CP;DenominaciÛn;DescripciÛn;Validez de;Validez a;Fecha de expiraciÛn
QAUF0402;PUCE;TEORIA DE LA INTERVE;TEORIA DE LA INTERVENCION COMO BASE DE LA EVALUACI;12/10/2018;31/12/2019;31/12/2019
QAUF0403;PUCE;MICROTECTURA;MICROTECTURA;01/11/2018;31/12/2018;31/12/2018
QAUF0404;PUCE;DESARROLLO DE LA COM;DESARROLLO DE LA COMPRENSI”N AUDITIVA;09/11/2018;31/12/2018;31/12/2018
QAUF0405;PUCE;EVANGELIZACION DIGIT;EVANGELIZACION DIGITAL ON LINE;05/11/2018;31/12/2019;31/12/2019
QAUF0406;PUCE;TALLER DE MEDITACION;TALLER DE MEDITACION INTEGRADA OCT-NOV 2018;17/10/2018;31/12/2018;31/12/2018
QAUF0407;PUCE;TALLER DE CRECIMIENT;TALLER DE CRECIMIENTO PERSONAL OCT-DIC 2018;16/10/2018;31/12/2018;31/12/2018
QAUF0408;PUCE;ESCUELA DE TEOLOGIA;ESCUELA DE TEOLOGIA PARA LAICOS NOV 2018 - ENE 201;05/11/2018;31/12/2019;31/12/2019
QAUF0409;PUCE;INTEGRACION ECONOMIC;INTEGRACION ECONOMICA;05/11/2018;31/12/2019;31/12/2019
QAUF0410;PUCE;I CONGRESO INTERNACI;I CONGRESO INTERNACIONAL DE INVESTIGACION EN LING‹;15/05/2018;31/12/2019;31/12/2019
QAUF0411;PUCE;PREPARACION PARA LA;PREPARACION PARA LA CERTIFICACION SIELE B2;05/11/2018;31/12/2018;31/12/2018
QAUF0412;PUCE;TALLER DE ACTIVACION;TALLER DE ACTIVACION URBANA: GENERO Y CIUDAD;12/11/2018;31/12/2019;31/12/2019
QAUF0413;PUCE;TEORIA DE LA IMAGEN;TEORIA DE LA IMAGEN E IDENTIDAD VISUAL - NOV 2018;12/11/2018;31/12/2019;31/12/2019
QAUF0414;PUCE;TALLER DE REDACCION;TALLER DE REDACCION CREATIVA Y ACADEMICA;10/11/2018;31/12/2018;31/12/2018
QAUF0415;PUCE;TALLER DE VITRALES;TALLER DE VITRALES;12/11/2018;31/12/2019;31/12/2019
QAUF0416;PUCE;PREVENCION Y ACTUALI;PREVENCION Y ACTUALIZACION EN PROCESOS DE DETERMIN;12/11/2018;31/12/2019;31/12/2019
QAUF0417;PUCE;ETICA Y PSICOANALISI;ETICA Y PSICOANALISIS;29/10/2018;31/12/2018;31/12/2018
QAUF0418;PUCE;PSICOPATOLOGIA Y CLI;PSICOPATOLOGIA Y CLINICA;22/10/2018;31/12/2019;31/12/2019
QAUF0419;PUCE;MODELO EDUCATIVO E I;MODELO EDUCATIVO E IDENTIDAD INSTITUCIONAL;03/09/2018;31/12/2018;31/12/2018
QAUF0420;PUCE;I WORKSHOP EN LIBRE;I WORKSHOP EN LIBRE COMPETENCIA;14/11/2018;31/12/2019;31/12/2019
QAUF0421;PUCE;MOODLE;MOODLE;19/11/2018;31/12/2019;31/12/2019
QAUF0422;PUCE;19.11_HERRAMIENTAS D;19.11_HERRAMIENTAS DIDACTICAS EN EL PROCESO EDUCAT;19/11/2018;31/12/2018;31/12/2018
QAUF0423;PUCE;20.11_HERRAMIENTAS D;20.11_HERRAMIENTAS DIDACTICAS EN EL PROCESO EDUCAT;20/11/2018;31/12/2019;31/12/2019
QAUF0424;PUCE;21.11_HERRAMIENTAS D;21.11_HERRAMIENTAS DIDACTICAS EN EL PROCESO EDUCAT;21/11/2018;31/12/2018;31/12/2018
QAUF0425;PUCE;MANTENIMIENTO DE CON;MANTENIMIENTO DE CONSTRUCCIONES TRADICIONALES: SIS;26/11/2018;31/12/2019;31/12/2019
QAUF0426;PUCE;EDUCACION DIGITAL PA;EDUCACION DIGITAL PARA LA FORMACION DEL PROFESORAD;10/11/2018;31/12/2018;31/12/2018
QAUF0427;PUCE;CORRESPONSABILIDAD F;CORRESPONSABILIDAD FAMILIAR ENTRE HOMBRES Y MUJERE;10/11/2018;31/12/2018;31/12/2018
QAUF0428;PUCE;PRODUCCION DE ALCOHO;PRODUCCION DE ALCOHOL EN LA BIOREFINERIA CNIB-PUCE;30/11/2018;31/12/9999;31/12/9999
QAUF0429;PUCE;CURSO SEMIPRESENCIAL;CURSO SEMIPRESENCIAL DE INVESTIGACION EN BIOETICA;01/12/2018;31/12/2019;31/12/2019
QAUF0430;PUCE;PLANT DIVERSITY WORK;PLANT DIVERSITY WORKSHOP IN ECUADOR;01/12/2018;31/12/2019;31/12/2019
QAUF0431;PUCE;COFFEE CUP;COFFEE CUP;11/09/2018;31/12/2999;31/12/2999
QAUF0432;PUCE;FORMACION DE TUTORES;FORMACION DE TUTORES PARA LA PREVENCION DEL ABUSO;16/11/2018;31/12/2019;31/12/2019
QAUF0433;PUCE;EJECUCION DE ESTUDIO;EJECUCION DE ESTUDIO TECNICO DEL CUMPLIMIENTO DE L;15/10/2018;15/01/2020;15/01/2020
QAUF0434;PUCE;EVALUACION DE RUTAS;EVALUACION DE RUTAS DE TRANSPORTE PUBLICO DE CALDE;31/10/2018;15/01/2020;15/01/2020
QAUF0435;PUCE;EVALUACION, ACREDITA;EVALUACION, ACREDITACION Y ASEGURAMIENTO DE LA CAL;23/11/2018;31/12/2019;31/12/2019
QAUF0436;PUCE;HERRAMIENTAS DIDACTI;HERRAMIENTAS DIDACTICAS EN EL PROCESO EDUCATIVO PA;20/11/2018;31/12/2019;31/12/2019
QAUF0437;PUCE;COMO PRESUPUESTAR DI;COMO PRESUPUESTAR DISE—O Y LA GESTION DE LA EMPRES;01/02/2019;31/12/2019;31/12/2019
QAUF0438;PUCE;CURSO DE FORMACION D;CURSO DE FORMACION DE TUTORES PARA LA PREVENCION D;15/12/2018;31/01/2020;31/01/2020
QAUF0439;PUCE;PROGRAMA DE CAPACITA;PROGRAMA DE CAPACITACION DE ALTA GERENCIA - PETROA;01/12/2018;31/12/2019;31/12/2019
QAUF0440;PUCE;TALLER DE USO DIDACT;TALLER DE USO DIDACTICO DEL AULA VIRTUAL;01/12/2018;31/12/2019;31/12/2019
QAUF0441;PUCE;DIBUJO Y PINTURA SOB;DIBUJO Y PINTURA SOBRE PAPEL PERIODICO - NOV 2018;20/11/2018;31/12/2019;31/12/2019
QAUF0442;PUCE;MODELADO DIGITAL EN;MODELADO DIGITAL EN 3 DIMENSIONES CON AUTOCAD;28/01/2018;31/12/2019;31/12/2019
QAUF0443;PUCE;LA ARQUITECTURA EN L;LA ARQUITECTURA EN LA FOTOGRAFIA;13/12/2018;31/12/2019;31/12/2019
QAUF0444;PUCE;MANEJO DEL DOLOR;MANEJO DEL DOLOR;01/12/2018;31/12/2019;31/12/2019
QAUF0445;PUCE;CURSO CAP HCAM;CURSO DE CAPACITACION PARA EL HOSPITAL CARLOS ANDR;14/01/2019;31/12/2019;31/12/2019
QAUF0446;PUCE;ARTICULOS CIENTIFICO;ARTICULOS CIENTIFICOS PARA REVISTAS INDEXADAS;12/01/2019;31/12/2019;31/12/2019
QAUF0447;PUCE;EQUIPOS POR VALORES;EQUIPOS POR VALORES;14/01/2019;31/12/2019;31/12/2019
QAUF0448;PUCE;INTRODUCCION A LA CO;INTRODUCCION A LA CORRECCION DE TEXTOS - ENERO;07/01/2019;31/12/2019;31/12/2019
QAUF0449;PUCE;CORRECCION DE ESTILO;CORRECCION DE ESTILO;14/01/2019;31/12/2019;31/12/2019
QAUF0450;PUCE;ESCRITURA DEL YO, BI;ESCRITURA DEL YO, BIOGRAFIA Y AUTOBIOGRAFIA;14/01/2019;31/12/2019;31/12/2019
QAUF0451;PUCE;INNOVACION FINANCIER;INNOVACION FINANCIERA;15/01/2019;31/12/2019;31/12/2019
QAUF0452;PUCE;DESIGN FOR SIX SIGMA;DESIGN FOR SIX SIGMA;15/01/2019;31/12/2019;31/12/2019
QAUF0453;PUCE;CREATIVIDAD EN REDES;CREATIVIDAD EN REDES SOCIALES;15/01/2019;31/12/2019;31/12/2019
QAUF0454;PUCE;MARCA PERSONAL;MARCA PERSONAL;15/01/2019;31/12/2019;31/12/2019
QAUF0455;PUCE;SOSTENIBILIDAD EMPRE;SOSTENIBILIDAD EMPRESARIAL: CONCEPTOS Y HERRAMIENT;15/01/2019;31/12/2019;31/12/2019
QAUF0456;PUCE;GESTION DE PROYECTOS;GESTION DE PROYECTOS CON ENFOQUE PMI;15/01/2019;31/12/2019;31/12/2019
QAUF0457;PUCE;CLAVES PARA UNA BRIL;CLAVES PARA UNA BRILLANTE REDACCION;15/01/2019;31/12/2019;31/12/2019
QAUF0458;PUCE;SEGURIDAD Y SALUD EN;SEGURIDAD Y SALUD EN EL TRABAJO: HIGIENE OCUPACION;15/01/2019;31/12/2019;31/12/2019
QAUF0459;PUCE;ESTRATEGIAS DE COMUN;ESTRATEGIAS DE COMUNICACI”N Y MARKETING DIGITAL;15/01/2019;31/12/2019;31/12/2019
QAUF0460;PUCE;MOODLE 2;MOODLE 2;15/01/2019;31/12/2019;31/12/2019
QAUF0461;PUCE;EXCEL INTERMEDIO;EXCEL INTERMEDIO;14/01/2019;31/12/2019;31/12/2019
QAUF0462;PUCE;DISE—O DE E-ACTIVIDA;DISE—O DE E-ACTIVIDADES MEDIADAS POR TIC Y REDES S;15/01/2019;31/12/2019;31/12/2019
QAUF0463;PUCE;MOODLE - ENERO;MOODLE - ENERO;15/01/2019;31/12/2019;31/12/2019
QAUF0464;PUCE;FREUD Y LA LITERATUR;FREUD Y LA LITERATURA;15/01/2019;31/12/2019;31/12/2019
QAUF0465;PUCE;FORMACION TEOLOGICA;FORMACION TEOLOGICA DE LIDERES COMUNITARIOS;15/01/2019;31/12/2019;31/12/2019
QAUF0466;PUCE;ACELERACIONISMO, NEO;ACELERACIONISMO, NEOLIBERALISMO Y DEMOCRACIA MODER;01/01/2019;31/12/2019;31/12/2019
QAUF0467;PUCE;PREPARACION AL EXAME;PREPARACION AL EXAMEN TESTDAF DE ALEMAN;22/01/2019;31/12/2019;31/12/2019
QAUF0468;PUCE;PENSAMIENTO CREATIVO;PENSAMIENTO CREATIVO EN LA EDUCACION SUPERIOR;22/01/2019;31/12/2019;31/12/2019
QAUF0469;PUCE;PRIMEROS AUXILIOS BA;PRIMEROS AUXILIOS BASICOS Y REANIMACION CARDIOPULM;22/01/2019;31/12/2019;31/12/2019
QAUF0470;PUCE;AUTODESK FUSION 360:;AUTODESK FUSION 360: DISE—O, INGENIERIA Y FABRICAC;22/01/2019;31/12/2019;31/12/2019
QAUF0471;PUCE;BAHIA-EVALUACI”N PSI;BAHIA-EVALUACI”N PSICOL”GICA PERSONAL DOCENTE Y AD;19/11/2018;10/03/2020;10/03/2020
QAUF0472;PUCE;REVISTA RUPTURA;REVISTA RUPTURA;22/01/2019;31/12/9999;31/12/9999
QAUF0473;PUCE;ALEMAN NIVEL 4 SABAT;ALEMAN NIVEL 4 SABATINO ENERO-ABRIL 2019;12/01/2019;31/12/2019;31/12/2019
QAUF0474;PUCE;PERFORMANCE, CUERPO,;PERFORMANCE, CUERPO, REGISTRO;28/01/2019;31/12/2019;31/12/2019
QAUF0475;PUCE;øCOMO PENSAR COLECTI;øCOMO PENSAR COLECTIVAMENTE? UN TALLER INTEGRADOR;07/01/2019;31/12/2019;31/12/2019
QAUF0476;PUCE;ITALIANOS EN LA ARQU;ITALIANOS EN LA ARQUITECTURA DE ECUADOR;10/01/2019;31/12/2019;31/12/2019
QAUF0477;PUCE;DIBUJO NATURAL - EXP;DIBUJO NATURAL - EXPRESION;10/01/2019;31/12/2019;31/12/2019
QAUF0478;PUCE;ACUARELA: BASES Y FU;ACUARELA: BASES Y FUNDAMENTOS;14/01/2019;31/12/2019;31/12/2019
QAUF0479;PUCE;DESARROLLO Y POLITIC;DESARROLLO Y POLITICA INDUSTRIAL;28/01/2019;31/12/2019;31/12/2019
QAUF0480;PUCE;FINANZAS PUBLICAS;FINANZAS PUBLICAS;28/01/2019;31/12/2019;31/12/2019
QAUF0481;PUCE;POLITICA DE COMPETEN;POLITICA DE COMPETENCIAS;28/01/2019;31/12/2019;31/12/2019
QAUF0482;PUCE;ECONOMIA SOCIAL Y SO;ECONOMIA SOCIAL Y SOLIDARIA;28/01/2019;31/12/2019;31/12/2019
QAUF0483;PUCE;STATA BASICO E INTER;STATA BASICO E INTERMEDIO 2019;21/01/2019;31/12/2019;31/12/2019
QAUF0484;PUCE;APLICACIONES ECONOMI;APLICACIONES ECONOMICAS A MERCADO DE TRABAJO Y CAP;28/01/2019;31/12/2019;31/12/2019
QAUF0485;PUCE;DATA DRIVE CONSUMERS;DATA DRIVE CONSUMERS: ENCUENTRA A LOS USUARIOS USA;18/01/2019;31/12/2019;31/12/2019
QAUF0486;PUCE;EDUCACION STEM;EDUCACION STEM;28/01/2019;31/12/2019;31/12/2019
QAUF0487;PUCE;TALLER DE USO DIDACT;TALLER DE USO DIDACTICO DEL AULA VIRTUAL 2019;23/01/2019;31/12/2019;31/12/2019
QAUF0488;PUCE;EL ARTE DEL ENSAYO P;EL ARTE DEL ENSAYO PERSONAL;28/01/2019;31/12/2019;31/12/2019
QAUF0489;PUCE;CONSTRUCCION Y NORMA;CONSTRUCCION Y NORMATIVA A—O 2019;28/01/2019;31/12/2019;31/12/2019
QAUF0490;PUCE;FUNDAMENTOS Y COMPOS;FUNDAMENTOS Y COMPOSICION DE LA IMAGEN FOTOGRAFICA;17/01/2019;31/12/2019;31/12/2019
QAUF0491;PUCE;SIG APLICADO A LA GE;SIG APLICADO A LA GESTION AMBIENTAL Y LA PLANIFICA;21/01/2019;31/12/2019;31/12/2019
QAUF0492;PUCE;TOPOGRAFIA;TOPOGRAFIA;21/01/2019;31/12/2019;31/12/2019
QAUF0493;PUCE;Encuentro Nacional ì;Encuentro Nacional ìPerspectivas EconÛmicas 2019î;30/01/2019;31/12/2019;31/12/2019
QAUF0494;PUCE;PREPARACION EHEP;PREPARACION EHEP;28/01/2019;31/12/2019;31/12/2019
QAUF0495;PUCE;LENGUA DE SE—AS ECUA;LENGUA DE SE—AS ECUATORIANA POR NIVELES 18 FEBRERO;01/02/2019;31/12/2019;31/12/2019
QAUF0496;PUCE;ESPA—OL PARA PERSONA;ESPA—OL PARA PERSONAS SORDO - SIGNANTES NIVEL 2;01/02/2019;31/12/2019;31/12/2019
QAUF0497;PUCE;PREPARACION AL DELE/;CURSO DE PREPARACION AL DELE/SIELE B2 ESPA—OL;22/01/2019;31/12/2019;31/12/2019
QAUF0498;PUCE;HERRAMIENTAS CONTEMP;HERRAMIENTAS CONTEMPORANEAS PARA LA CREACION ANALI;01/02/2019;31/12/2019;31/12/2019
QAUF0499;PUCE;CONSERVACION DE DOCU;CONSERVACION DE DOCUMENTOS ARQUITECTONICOS: PLANOS;31/01/2019;31/12/2019;31/12/2019
QAUF0500;PUCE;ESPACIO ANDINO: PERS;ESPACIO ANDINO: PERSPECTIVAS DE APLICACI”N;29/01/2019;31/12/2019;31/12/2019
QAUF0501;PUCE;CAPACITACION SOBRE L;CAPACITACION SOBRE LIMPIEZA HOSPITALARIA;01/02/2019;31/12/2019;31/12/2019
QAUF0502;PUCE;GESTION DE CALIDAD E;GESTION DE CALIDAD EN SALUD Y SEGURIDAD DEL PACIEN;04/02/2019;31/12/2019;31/12/2019
QAUF0503;PUCE;PRACTICAS INNOVADORA;PRACTICAS INNOVADORAS PARA TRANFORMAR LA EDUCACION;05/02/2019;31/12/2019;31/12/2019
QAUF0504;PUCE;CURSO DE NIVELACION;CURSO DE NIVELACION - FEBRERO 2019;01/01/2019;31/12/2019;31/12/2019
QAUF0505;PUCE;AUXILIARES DE ENFERM;AUXILIARES DE ENFERMERIA ENERO - JULIO 2019;01/01/2019;31/12/2019;31/12/2019
QAUF0506;PUCE;INVESTIGACION: METOD;INVESTIGACION: METODOLOGIA Y PRACTICA;10/02/2019;31/12/2019;31/12/2019
QAUF0507;PUCE;SEDE MANABI;SEDE MANABI;01/01/2018;31/12/2999;31/12/2999
QAUF0508;PUCE;C_NIV_FIL_TEO_FEB_19;CURSO NIVELACION FILOSOFICO-TEOLOGICAS FEB2019;01/01/2019;31/12/2019;31/12/2019
QAUF0509;PUCE;SERVICIO DE GASTROEN;SERVICIO DE GASTROENTEROLOGIA Y ENDOSCOPIA DIGESTI;15/02/2019;31/12/9999;31/12/9999
QAUF0510;PUCE;MATLAB APLICADO A LA;MATLAB APLICADO A LA INGENIERIA CIVIL;04/02/2019;31/12/2019;31/12/2019
QAUF0511;PUCE;BUILDING INFORMATION;BUILDING INFORMATION MODELLING (BIM);04/02/2019;31/12/2019;31/12/2019
QAUF0512;PUCE;CAMPINA - SECRETARIA;CAMPINA - SECRETARIA DE PROTECCION DE DERECHOS DEL;27/11/2018;10/04/2020;10/04/2020
QAUF0513;PUCE;CURSO SUPERIOR DE DO;CURSO SUPERIOR DE DOCENCIA EN CIENCIAS DE LA SALUD;16/02/2019;31/12/2019;31/12/2019
QAUF0514;PUCE;HIGHEND RETOUCH - RE;HIGHEND RETOUCH - RETOQUE FOTOGRADICO Y POST;16/02/2019;27/04/2020;27/04/2020
QAUF0515;PUCE;NARRATIVA GRAFICA OR;NARRATIVA GRAFICA ORIENTADA A LA AUTOR EDICION;16/02/2019;31/12/2019;31/12/2019
QAUF0516;PUCE;TALLER DE STICKERS Y;TALLER DE STICKERS Y DISE—O DE PERSONAJES ILUSTRAD;16/02/2019;31/12/2019;31/12/2019
QAUF0517;PUCE;FOTOGRAFIA DE RETRAT;FOTOGRAFIA DE RETRATO EN ESTUDIO;16/02/2019;31/12/2020;31/12/2020
QAUF0518;PUCE;EXPRESION CORPORAL C;EXPRESION CORPORAL CONTEMPORANEA;16/02/2019;31/12/2019;31/12/2019
QAUF0519;PUCE;DISE—O ALGORITMICO C;DISE—O ALGORITMICO CON PROGRESSING;16/02/2019;31/12/2019;31/12/2019
QAUF0520;PUCE;ANIMACION 2D EN PHOT;ANIMACION 2D EN PHOTOSHOP;16/02/2019;31/12/2019;31/12/2019
QAUF0521;PUCE;INNOVACION EDUCATIVA;INNOVACION EDUCATIVA Y DESARROLLO DE ESTRATEGIAS C;11/02/2019;31/12/2019;31/12/2019
QAUF0522;PUCE;INTRODUCCION AL MODE;INTRODUCCION AL MODELO PEDAGOGICO DE LA COMPA—IA D;11/02/2019;31/12/2019;31/12/2019
QAUF0523;PUCE;I TALLER DE ORIENTAC;I TALLER DE ORIENTACION VOCACIONAL Y PROFESIONAL;16/02/2019;31/12/2019;31/12/2019
QAUF0524;PUCE;HEBREO A2.1;HEBREO A2.1;16/02/2019;31/12/2019;31/12/2019
QAUF0525;PUCE;CONVERSACION Y PRONU;CONVERSACION Y PRONUNCIACION EN INGLES 13 MARZO -;16/02/2019;31/12/2019;31/12/2019
QAUF0526;PUCE;6TA.MONITOREO DE BIO;6TA.MONITOREO DE BIOINDICADORES - CONCESION LA ZAR;22/01/2019;15/01/2020;15/01/2020
QAUF0527;PUCE;MONITOREO ANUAL: LIN;MONITOREO ANUAL: LINEA DE TRANSMISION ELECTRICA BO;14/01/2019;15/01/2020;15/01/2020
QAUF0528;PUCE;EXPLOTACION DE MATER;EXPLOTACION DE MATERIALES DE CONSTRUCCION EN LA CO;14/01/2019;15/01/2020;15/01/2020
QAUF0529;PUCE;PREPARACION PARA REN;PREPARACION PARA RENDIR EXAMEN DE INGRESO SEGUNDO;01/01/2019;31/12/2019;31/12/2019
QAUF0530;PUCE;FORMACION DE TUTORES;FORMACION DE TUTORES 2019;25/02/2019;31/12/2019;31/12/2019
QAUF0531;PUCE;MONITOREO BIOTICO DE;MONITOREO BIOTICO DE LAS CONCESIONES MINERAS EMPER;01/02/2019;15/01/2020;15/01/2020
QAUF0532;PUCE;DESARROLLO DE BIOSEN;DESARROLLO DE BIOSENSORES BASADOS EN NANOTUBOS DE;01/01/2019;28/02/2020;28/02/2020
QAUF0533;PUCE;JORNADAS INTERNACION;JORNADAS INTERNACIONALES DE PSICOLOGIA JURIDICA Y;18/03/2019;31/12/2019;31/12/2019
QAUF0534;PUCE;JORNADAS INTERNACION;JORNADAS INTERNACIONALES DE PSICOLOGIA JURIDICA Y;18/03/2019;31/12/2019;31/12/2019
QAUF0535;PUCE;DISE—O Y EJECUCION D;DISE—O Y EJECUCION DE PROYECTOS EDUCATIVOS INTERDI;18/03/2019;31/12/2019;31/12/2019
QAUF0536;PUCE;PUBLISHING IN ENGLIS;PUBLISHING IN ENGLISH;18/03/2019;31/12/2019;31/12/2019
QAUF0537;PUCE;3ER CURSO FORMACION;3ER CURSO FORMACION DE MEDIADORES - CONSEJO DE LA;18/03/2019;31/12/2020;31/12/2020
QAUF0538;PUCE;GESTION DE INDICADOR;GESTION DE INDICADORES;18/03/2019;31/12/2019;31/12/2019
QAUF0539;PUCE;SROI RETORNO DE LA I;SROI RETORNO DE LA INVERSION EN PROYECTOS SOCIALES;18/03/2019;31/12/2019;31/12/2019
QAUF0540;PUCE;CLINICA PSICOANALITI;CLINICA PSICOANALITICA: LA APTITUD DE LO INADECUAD;18/03/2019;31/12/2019;31/12/2019
QAUF0541;PUCE;FORMACION DE LIDERES;FORMACION DE LIDERES WAORANI PARA LA PROMOCION Y P;20/03/2019;31/12/2021;31/12/2021
QAUF0542;PUCE;CONSULTORIA APOYO LE;CONSULTORIA APOYO LEVANTAMIENTO INFORMACI”N PROGRA;01/03/2019;31/12/2019;31/12/2019
QAUF0543;PUCE;RESCATE DE LA  ULTIM;RESCATE DE LA  ULTIMA POBLACI”N DE LA RANA CHOHETE;01/01/2016;31/12/2020;31/12/2020
QAUF0544;PUCE;MUESTREO BIOTICO DEL;MUESTREO BIOTICO DEL ESTUDIO COMPLEMENTARIO CONCES;01/03/2019;15/09/2020;15/09/2020
QAUF0545;PUCE;DESARROLLANDO MIPYME;DESARROLLANDO MIPYMES EMPRENDEDORAS;01/04/2019;31/12/2019;31/12/2019
QAUF0546;PUCE;CONTROL INTERNO Y GE;CONTROL INTERNO Y GESTION DE RIESGOS;01/04/2019;31/12/2019;31/12/2019
QAUF0547;PUCE;HISTORIA DE LA MUSIC;HISTORIA DE LA MUSICA 10 DE ABRIL AL 24 DE JULIO 2;02/04/2019;31/12/2019;31/12/2019
QAUF0548;PUCE;HISTORIA DEL ARTE EC;HISTORIA DEL ARTE ECUATORIANO ABRIL A JULIO 2019;02/04/2019;31/12/2019;31/12/2019
QAUF0549;PUCE;ANIMACION 3D BASICO;ANIMACION 3D BASICO Y AVANZADO;02/04/2019;31/12/2019;31/12/2019
QAUF0550;PUCE;MODELADO 3D BASICO Y;MODELADO 3D BASICO Y AVANZADO;02/04/2019;31/12/2019;31/12/2019
QAUF0551;PUCE;ADOBE PHOTOSHOP AVAN;ADOBE PHOTOSHOP AVANZADO;02/04/2019;31/12/2019;31/12/2019
QAUF0552;PUCE;ADOBE INDESING AVANZ;ADOBE INDESING AVANZADO;02/04/2019;31/12/2019;31/12/2019
QAUF0553;PUCE;ADOBE ILUSTRADOR AVA;ADOBE ILUSTRADOR AVANZADO;02/04/2019;31/12/2019;31/12/2019
QAUF0554;PUCE;GERENCIA Y GESTION D;GERENCIA Y GESTION DE PROYECTOS;02/04/2019;31/12/2019;31/12/2019
QAUF0555;PUCE;AUTORIDADES ELECTAS;AUTORIDADES ELECTAS DE GOBIERNO AUTONOMO;10/04/2019;31/12/2019;31/12/2019
QAUF0556;PUCE;IV JORNADAS INTERNAC;IV JORNADAS INTERNACIONALES DE DERECHO 2019;11/01/2019;31/12/2019;31/12/2019
QAUF0557;PUCE;EL DIALOGO Y LA COMU;EL DIALOGO Y LA COMUNICACION DEL ADULTO EN UN MUSE;15/04/2019;31/12/2019;31/12/2019
QAUF0558;PUCE;EL ENCUENTRO MOTIVAN;EL ENCUENTRO MOTIVANTE Y ACTIVO DEL PREADOLESCENTE;15/04/2019;31/12/2019;31/12/2019
QAUF0559;PUCE;EL ACERCAMIENTO LUDI;EL ACERCAMIENTO LUDICO, CREATIVO E INTEGRAL DEL NI;15/04/2019;31/12/2019;31/12/2019
QAUF0560;PUCE;DE LA EDUCACION POPU;DE LA EDUCACION POPULAR AL DISENO PARTICIPATIVO: M;15/04/2019;31/12/2019;31/12/2019
QAUF0561;PUCE;CIUDAD ABIERTA HABIT;CIUDAD ABIERTA HABITAT SOSTENIBLE Y PLANES DE MANE;10/04/2019;31/08/2020;31/08/2020
QAUF0562;PUCE;EDUCACION CONTINUA P;EDUCACION CONTINUA PUCE SALUD SEDES;01/01/2019;31/12/2019;31/12/2019
QAUF0563;PUCE;EDUCACION, EQUIDAD,;EDUCACION, EQUIDAD, CALIDAD, INCLUSION Y ATENCION;20/04/2019;31/12/2019;31/12/2019
QAUF0564;PUCE;CURSO CAPACITACION D;CURSO CAPACITACION DE COMPETENCIAS EN PREVENCION D;08/05/2019;31/01/2020;31/01/2020
QAUF0565;PUCE;CAPACITACION SOBRE L;CAPACITACION SOBRE LIMPIEZA HOSPITALARIA 2;08/05/2019;31/12/2019;31/12/2019
QAUF0566;PUCE;FORMACION DE FACILIT;FORMACION DE FACILITADORES PARA AYUDA HUMANITARIA;08/05/2019;31/12/2019;31/12/2019
QAUF0567;PUCE;REDESCUBRIENDO DEL D;REDESCUBRIENDO DEL DERECHO: NUEVOS METODOS DE INVE;08/05/2019;31/12/2019;31/12/2019
QAUF0568;PUCE;LA PRUEBA PERICIAL Y;LA PRUEBA PERICIAL Y EL ROL DEL PERITO EN EL ECUAD;08/05/2019;31/12/2019;31/12/2019
QAUF0569;PUCE;ALTA GERENCIA II;ALTA GERENCIA II;08/05/2019;31/12/2019;31/12/2019
QAUF0570;PUCE;FUNDAMENTOS DE LA ED;FUNDAMENTOS DE LA EDUCACION INICIAL Y CUIDADO MATE;08/05/2019;31/12/2019;31/12/2019
QAUF0571;PUCE;LOS CUERPOS QUEER AB;LOS CUERPOS QUEER ABREN LAS PUERTAS DEL ARMARIO. A;08/05/2019;31/12/2019;31/12/2019
QAUF0572;PUCE;ESTRATEGIAS DE COMPR;ESTRATEGIAS DE COMPRENSION LECTORA A1;08/05/2019;31/12/2019;31/12/2019
QAUF0573;PUCE;REFUERZO DE GRAMATIC;REFUERZO DE GRAMATICA Y ESCRITURA EN JAPONES;08/05/2019;31/12/2019;31/12/2019
QAUF0574;PUCE;ALEMAN 5 SABATINO DE;ALEMAN 5 SABATINO DE ABRIL A JUNIO DEL 2019;08/05/2019;31/12/2019;31/12/2019
QAUF0575;PUCE;PROGRAMA DE CORTA DU;PROGRAMA DE CORTA DURACION ENFOCADO EN LENGUA Y CU;08/05/2019;31/12/2020;31/12/2020
QAUF0576;PUCE;EXPERTO TECNICO EN P;EXPERTO TECNICO EN PROCESOS DE ACREDITACION EN SAL;08/05/2019;22/04/2020;22/04/2020
QAUF0577;PUCE;CURSO DE CAPACITACIO;CURSO DE CAPACITACION EN PROCESOS DE ACREDITACION;08/05/2019;29/02/2020;29/02/2020
QAUF0578;PUCE;BIBLIOTECA INFANTIL;BIBLIOTECA INFANTIL CHIQUIPUCE;10/05/2019;31/12/9999;31/12/9999
QAUF0579;PUCE;NURSING Y MEDICINE 2;NURSING Y MEDICINE 2019;10/05/2019;31/12/2019;31/12/2019
QAUF0580;PUCE;MANEJO DEL DOLOR DEL;MANEJO DEL DOLOR DEL 17 JUNIO AL 19 JULIO 2019;13/05/2019;31/12/2019;31/12/2019
QAUF0581;PUCE;CERVEZA ARTESANAL EN;CERVEZA ARTESANAL EN ECUADOR: ORIGEN Y FUTURO;13/05/2019;31/12/2019;31/12/2019
QAUF0582;PUCE;TEDXPUCE;TEDXPUCE;01/04/2019;31/12/2019;31/12/2019
QAUF0583;PUCE;TALLER DE DISE—O Y C;TALLER DE DISE—O Y CONSTRUCCION DE CALZADO;15/05/2019;31/12/2019;31/12/2019
