Programa de financiaciÛn;Entidad CP;DenominaciÛn;DescripciÛn;Validez de;Validez a;Fecha de expiraciÛn
QAUF0258;PUCE;ITALIANO SEMIPRESENC;ITALIANO SEMIPRESENCIAL B1-B2;01/01/1900;31/12/2019;31/12/2019
QAUF0259;PUCE;MAY-JUL CONVERSACION;MAY-JUL CONVERSACION Y PRONUNCIACION PAR;01/01/1900;31/12/2019;31/12/2019
QAUF0260;PUCE;ENGLISH SPEAKING COU;ENGLISH SPEAKING COURSE FOR PREINTERMEDI;01/01/1900;31/12/2019;31/12/2019
QAUF0261;PUCE;INNOVACION EDUCATIVA;INNOVACION EDUCATIVA 20 Y 21 DE JUNIO 20;01/01/1900;31/12/2019;31/12/2019
QAUF0262;PUCE;INNOVACION EDUCATIVA;INNOVACION EDUCATIVA 18 Y 19 DE JUNIO 20;01/01/1900;31/12/2019;31/12/2019
QAUF0263;PUCE;TEORIA DE LA IMAGEN;TEORIA DE LA IMAGEN E IDENTIDAD VISUAL;01/01/1900;31/12/2019;31/12/2019
QAUF0264;PUCE;CURSO VIRTUAL EN GES;CURSO VIRTUAL EN GESTION DE VOLUNTARIADO;01/01/1900;31/12/2019;31/12/2019
QAUF0265;PUCE;METODOLOGIA DE LA IN;METODOLOGIA DE LA INVESTIGACION EN PSICO;01/01/1900;31/12/2019;31/12/2019
QAUF0266;PUCE;STATA BASICO E INTER;STATA BASICO E INTERMEDIO 2018;01/01/1900;31/12/2019;31/12/2019
QAUF0267;PUCE;RECONSTRUCCION MANAB;RECONSTRUCCION MANABI;01/01/1900;15/01/2020;15/01/2020
QAUF0268;PUCE;DERECHO PARA PERIODI;DERECHO PARA PERIODISTAS;01/01/1900;31/12/2019;31/12/2019
QAUF0269;PUCE;HISTORIA DEL ARTE EC;HISTORIA DEL ARTE ECUATORIANO;01/01/1900;31/12/2019;31/12/2019
QAUF0270;PUCE;MAY-JUN CURSO DE PRE;MAY-JUN CURSO DE PREPARACION PARA EL ING;01/01/1900;31/12/2019;31/12/2019
QAUF0271;PUCE;JUN CURSO DE PREPARA;JUN CURSO DE PREPARACION PARA EL INGRESO;01/01/1900;31/12/2019;31/12/2019
QAUF0272;PUCE;APRECIACION MUSICAL;APRECIACION MUSICAL Y PATRIMONIO SONORO;01/01/1900;31/12/2019;31/12/2019
QAUF0273;PUCE;EMPERADOR - PRINCESA;EMPERADOR - PRINCESA SEPT-18 ORDEN DE TR;01/01/1900;31/12/9999;31/12/9999
QAUF0274;PUCE;DIRECTOR DE GESTION;DIRECTOR DE GESTION Y PLANIFICACION DE I;01/01/1900;31/12/9999;31/12/9999
QAUF0275;PUCE;PRACTICAS EFECTIVAS;PRACTICAS EFECTIVAS EN EL AULA DE LENGUA;01/01/1900;31/12/2019;31/12/2019
QAUF0276;PUCE;5TA.MONITOREO DE BIO;5TA.MONITOREO DE BIOINDICADORES - CONCES;01/01/1900;31/12/9999;31/12/9999
QAUF0277;PUCE;DISERLAB;DISERLAB;01/01/1900;31/12/9999;31/12/9999
QAUF0278;PUCE;INVESTIGACION DE MER;INVESTIGACION DE MERCADOS PARA EJECUTIVO;01/01/1900;31/12/2019;31/12/2019
QAUF0279;PUCE;PRINCIPIOS DE PROTOC;PRINCIPIOS DE PROTOCOLO, CEREMONIAL Y ET;01/01/1900;31/12/2019;31/12/2019
QAUF0280;PUCE;AUSPICIO REVISTA ACT;AUSPICIO REVISTA ACTUALIDAD;01/01/1900;31/12/9999;31/12/9999
QAUF0281;PUCE;GUAYAQUIL - CURSO IN;GUAYAQUIL - CURSO INTERNACIONAL DE GESTI;01/01/1900;31/12/2019;31/12/2019
QAUF0282;PUCE;DESARROLLO DE NEGOCI;DESARROLLO DE NEGOCIOS PROPIOS;01/01/1900;31/12/2019;31/12/2019
QAUF0283;PUCE;ESTRATEGIAS DE COBRA;ESTRATEGIAS DE COBRANZAS;01/01/1900;31/12/2019;31/12/2019
QAUF0284;PUCE;SROI RETORNO DE LA I;SROI RETORNO DE LA INVERSION DE PROYECTO;01/01/1900;31/12/2019;31/12/2019
QAUF0285;PUCE;NEGOCIACION PARA COB;NEGOCIACION PARA COBRANZAS;01/01/1900;31/12/2019;31/12/2019
QAUF0286;PUCE;DESARROLLO DE COMPET;DESARROLLO DE COMPETENCIAS DE CREATIVIDA;01/01/1900;31/12/2019;31/12/2019
QAUF0287;PUCE;GESTION AUTOMATICA D;GESTION AUTOMATICA DE DATOS MEDIANTE LA;01/01/1900;31/12/2019;31/12/2019
QAUF0288;PUCE;INTERPRETACION CORRE;INTERPRETACION CORRECTA DE LOS ESTADOS F;01/01/1900;31/12/2019;31/12/2019
QAUF0289;PUCE;PLANIFICACION ESTRAT;PLANIFICACION ESTRATEGICA EMPRESARIAL E;01/01/1900;31/12/2019;31/12/2019
QAUF0290;PUCE;CASA ANCIANOS SIGCHO;CASA ANCIANOS SIGCHOS;01/01/1900;31/12/9999;31/12/9999
QAUF0291;PUCE;SENSIBILIZACION PARA;SENSIBILIZACION PARA LA MEJORA DE CALIDA;01/01/1900;31/12/2019;31/12/2019
QAUF0292;PUCE;ADMINISTRACION DE RE;ADMINISTRACION DE RELACIONES EXITOSAS CO;01/01/1900;31/12/2019;31/12/2019
QAUF0293;PUCE;SISTEMAS DE PRODUCCI;SISTEMAS DE PRODUCCION SIN DEFECTOS;01/01/1900;31/12/2019;31/12/2019
QAUF0294;PUCE;PEED - PROGRAMA DE E;PEED - PROGRAMA DE EVALUACION EXTERNA;01/01/1900;31/12/9999;31/12/9999
QAUF0295;PUCE;TERAPIA COMUNITARIA;TERAPIA COMUNITARIA INTEGRATIVA- UNA MET;01/01/1900;31/12/2019;31/12/2019
QAUF0296;PUCE;SEMINARIO INTERNACIO;SEMINARIO INTERNACIONAL- VINCULOS SALUDA;01/01/1900;31/12/2019;31/12/2019
QAUF0297;PUCE;EXCEL INTERMEDIO;EXCEL INTERMEDIO;01/01/1900;31/12/2019;31/12/2019
QAUF0298;PUCE;EDUCACION DIGITAL PA;EDUCACION DIGITAL PARA LA FOR.IGNACIANO;01/01/1900;31/12/2019;31/12/2019
QAUF0299;PUCE;URBANISMO SOCIAL- LI;URBANISMO SOCIAL- LINEAMIENTOS Y ESTRATE;01/01/1900;31/12/2019;31/12/2019
QAUF0300;PUCE;AMBIENTES ARQUITECTO;AMBIENTES ARQUITECTONICOS CON 3D MAX;01/01/1900;31/12/2019;31/12/2019
QAUF0301;PUCE;ENCUENTRO ARTE, EDUC;ENCUENTRO ARTE, EDUCACION E INTERCULTURA;01/01/1900;31/12/2019;31/12/2019
QAUF0302;PUCE;EXAMEN TESTAS;EXAMEN TESTAS;01/01/1900;31/12/2019;31/12/2019
QAUF0303;PUCE;SERVICIO A LA COMUNI;SERVICIO A LA COMUNIDAD;01/01/1900;31/12/9999;31/12/9999
QAUF0304;PUCE;XXVI CURSO SUPERIOR;XXVI CURSO SUPERIOR DE DOCENCIA EN SALUD;01/01/1900;31/12/2019;31/12/2019
QAUF0305;PUCE;MODELO DE NEGOCIOS (;MODELO DE NEGOCIOS (CANVAS);01/01/1900;31/12/2019;31/12/2019
QAUF0306;PUCE;GESTION DEL CAMBIO Y;GESTION DEL CAMBIO Y TRANSICION ORGANIZA;01/01/1900;31/12/2019;31/12/2019
QAUF0307;PUCE;PERSONAL BRANSING;PERSONAL BRANSING;01/01/1900;31/12/2019;31/12/2019
QAUF0308;PUCE;ITALIANO SEMIPRESENC;ITALIANO SEMIPRESENCIAL B2;01/01/1900;31/12/2019;31/12/2019
QAUF0309;PUCE;ALEMAN 1 SABATINO SE;ALEMAN 1 SABATINO SEPT A DIC 2018;01/01/1900;31/12/2019;31/12/2019
QAUF0310;PUCE;GESTION DE PROCESOS;GESTION DE PROCESOS ORIENTADO AL CLIENTE;01/01/1900;31/12/2019;31/12/2019
QAUF0311;PUCE;ENFOQUE DEL MARCO LO;ENFOQUE DEL MARCO LOGICO EN EL DISENO DE;01/01/1900;31/12/2019;31/12/2019
QAUF0312;PUCE;EMPRENDIMIENTOS COLE;EMPRENDIMIENTOS COLECTIVOS;01/01/1900;31/12/2019;31/12/2019
QAUF0313;PUCE;2 MODELO EDUCATIVO E;2 MODELO EDUCATIVO E IDENTIDAD INSTITUCI;01/01/1900;31/12/2019;31/12/2019
QAUF0314;PUCE;MOODLE 2;MOODLE 2;01/01/1900;31/12/2019;31/12/2019
QAUF0315;PUCE;EVALUACION PSICOLOGI;EVALUACION PSICOLOGICA PERSONAL DOCENTE;01/01/1900;15/01/2020;15/01/2020
QAUF0316;PUCE;PREPARACION TESFDAF;PREPARACION TESFDAF DE ALEMAN;01/01/1900;31/12/2019;31/12/2019
QAUF0317;PUCE;ALEMAN 3 SABATINO DE;ALEMAN 3 SABATINO DE SEPT A DIC 2018;01/01/1900;31/12/2019;31/12/2019
QAUF0318;PUCE;ALEMAN 4 SABATINO DE;ALEMAN 4 SABATINO DE SEPT A DIC 2018;01/01/1900;31/12/2019;31/12/2019
QAUF0319;PUCE;ALEMAN 5 SABATINO DE;ALEMAN 5 SABATINO DE SEPT A DIC 2018;01/01/1900;31/12/2019;31/12/2019
QAUF0320;PUCE;PLANIFICACION, DIDAC;PLANIFICACION, DIDACTICA Y EVALUACION;01/01/1900;31/12/2019;31/12/2019
QAUF0321;PUCE;FUNDAMENTOS DEL APRE;FUNDAMENTOS DEL APRENDIZAJE- APLICACIONE;01/01/1900;31/12/2019;31/12/2019
QAUF0322;PUCE;II CONGRESO ANDINO D;II CONGRESO ANDINO DE ESTUDIOS SOBRE DAN;01/01/1900;31/12/2019;31/12/2019
QAUF0323;PUCE;LENGUA DE SENAS ECUA;LENGUA DE SENAS ECUATORIANA POR NIVELES;01/01/1900;31/12/2019;31/12/2019
QAUF0324;PUCE;70 ANOS FACULTAD DE;70 ANOS FACULTAD DE ECONOMIA;01/01/1900;15/01/2020;15/01/2020
QAUF0325;PUCE;PROYECTO TEAM- ZOOLO;PROYECTO TEAM- ZOOLOGIA ESTACION METEORO;01/01/1900;31/12/9999;31/12/9999
QAUF0326;PUCE;PROYECTO TEAM- CLIMA;PROYECTO TEAM- CLIMA Y COORDINACION DEL;01/01/1900;31/12/9999;31/12/9999
QAUF0327;PUCE;REVISTA LEAI;REVISTA LEAI;01/01/1900;31/12/2019;31/12/2019
QAUF0328;PUCE;PROYECTO TEAM- BOTAN;PROYECTO TEAM- BOTANICA;01/01/1900;31/12/9999;31/12/9999
QAUF0329;PUCE;CODIGO ORGANICO DE L;CODIGO ORGANICO DE LA ECONOMIA SOCIAL DE;01/01/1900;31/12/2019;31/12/2019
QAUF0330;PUCE;FONDO TELEFONICA;FONDO TELEFONICA;01/01/1900;31/12/2020;31/12/2020
QAUF0331;PUCE;SMITHSONIAN DINAMICA;SMITHSONIAN DINAMICA PLANTULAS Y SEMILLA;01/01/1900;31/12/9999;31/12/9999
QAUF0332;PUCE;PROGRAMA DE FORMACIO;PROGRAMA DE FORMACION DE VOLUNTARIADO SO;01/01/1900;31/12/2019;31/12/2019
QAUF0333;PUCE;SIMPOSIO DE ARTROSCO;SIMPOSIO DE ARTROSCOPIA;01/01/1900;31/12/2019;31/12/2019
QAUF0334;PUCE;I Y II SIMPOSICIO DE;I Y II SIMPOSICIO DE CIRUGIA DE MANO Y M;01/01/1900;31/12/2019;31/12/2019
QAUF0335;PUCE;FORMANDO MEDIADORES;FORMANDO MEDIADORES - CONSEJO DE LA JUDI;01/01/1900;31/12/2019;31/12/2019
QAUF0336;PUCE;CURSO DE NIVELACION;CURSO DE NIVELACION - SEPTIEMBRE 2017;01/01/1900;31/12/2019;31/12/2019
QAUF0337;PUCE;I SIMPOSIO INTERNACI;I SIMPOSIO INTERNACIONAL DE REEMPLAZO AR;01/01/1900;31/12/2019;31/12/2019
QAUF0338;PUCE;NUTRICION PARA EL DE;NUTRICION PARA EL DESARROLLO;01/01/1900;31/12/2019;31/12/2019
QAUF0339;PUCE;EVANGELIZACION DIGIT;EVANGELIZACION DIGITAL 21-04-04-08-2018;01/01/1900;31/12/2019;31/12/2019
QAUF0340;PUCE;PRD-ARES - REFORZAMI;PRD-ARES - REFORZAMIENTO DE LOS ESPACIOS;01/01/1900;31/12/2021;31/12/2021
