CÓDIGO SAP;DESCRIPCIÓN SAP
211; COLOP R30                                                                                            
212; COLOR WORKS PROXIMA                                                                                  
213; COLSON                                                                                               
214; COMBARDINI                                                                                           
215; COMBIBOX                                                                                             
216; COMEDIL                                                                                              
217; COMMAX                                                                                               
218; COMPACTA LOGIKA                                                                                      
219; COMPAQ                                                                                               
220; COMPENS                                                                                              
221; CONFICI                                                                                              
222; CONGAS                                                                                               
223; CONSOLIDATED                                                                                         
224; CONSUL                                                                                               
225; CONSUL DRAPERD                                                                                       
226; CONTROLS                                                                                             
227; CONVAIR                                                                                              
228; COPELAMETIC                                                                                          
229; COPYETETELEX                                                                                         
230; CORBERO                                                                                              
231; CORNING                                                                                              
232; CORONA                                                                                               
233; CORONAMATIC                                                                                          
234; COSMIG                                                                                               
235; COSTAR                                                                                               
236; COULTER                                                                                              
237; COULTER JT                                                                                           
238; CRUDO CAAMAÑO                                                                                        
239; CRAFTSMAN                                                                                            
240; CRAMER                                                                                               
241; CRAMEX                                                                                               
242; CREATIVE                                                                                             
243; CRONOLUX                                                                                             
244; CROSSMAN                                                                                             
245; CROWN                                                                                                
246; CRYOMEDICS                                                                                           
247; CUIR DE IE                                                                                           
248; CUPRUM                                                                                               
249; CURVED                                                                                               
250; CUT                                                                                                  
251; CVS                                                                                                  
252; OMNI                                                                                                 
253; DAFIGO                                                                                               
254; DAHLE                                                                                                
255; DAIMIC                                                                                               
256; DALIANT                                                                                              
257; DA-LITE                                                                                              
258; DANGER                                                                                               
259; DARQUETRON                                                                                           
260; DATA                                                                                                 
261; DATA CARD                                                                                            
262; DATA GENERAL                                                                                         
263; DATA GRAL DASHER                                                                                     
264; DATA GRAL IBM                                                                                        
265; DATA LITE                                                                                            
266; DATA SWITCH                                                                                          
267; DATA TEMP                                                                                            
268; DATASAVE                                                                                             
269; DAVIDSON                                                                                             
270; DAYTON                                                                                               
271; DE WALT                                                                                              
272; DELL                                                                                                 
273; DELTA                                                                                                
274; DELTA VISION                                                                                         
275; DELTEC                                                                                               
276; DELUXE STANDFAN                                                                                      
277; DEMPHER GERMAY STANLYS                                                                               
278; DENTSPLY                                                                                             
279; DETECTO                                                                                              
280; DEV/T                                                                                                
281; DEVILBISS                                                                                            
282; EPSON FX880                                                                                          
283; DFI                                                                                                  
284; DHOLE                                                                                                
285; DIA ROTARY LAMP                                                                                      
286; DIALES                                                                                               
287; DIAMOND                                                                                              
288; DIETZGEU                                                                                             
289; DIGITAL MICROWARE                                                                                    
290; DINAMIC                                                                                              
291; DISTECNICA                                                                                           
292; DITTO                                                                                                
293; DIXON                                                                                                
294; DKT                                                                                                  
295; D'LINIART                                                                                            
296; DNIG                                                                                                 
297; DOCUMATION                                                                                           
298; DOLAN JENNER                                                                                         
299; DRAPER                                                                                               
300; DREMMEL                                                                                              
301; DSA                                                                                                  
302; DTC                                                                                                  
303; DTK                                                                                                  
304; DUCHI                                                                                                
305; DUEVT                                                                                                
306; DUKANE                                                                                               
307; DUNCAN                                                                                               
308; DUPLEX                                                                                               
309; DURAGAS                                                                                              
310; DUREX                                                                                                
311; DURHAM                                                                                               
312; DURR DAL                                                                                             
313; DYMO                                                                                                 
314; DYNAC                                                                                                
315; DYNAMIC                                                                                              
316; EAGLE                                                                                                
317; EBA                                                                                                  
318; EBERBACH                                                                                             
319; EBERLINE                                                                                             
320; EC                                                                                                   
321; EC APPARATUS CORPORATION                                                                             
322; ECASA                                                                                                
323; ECOMI                                                                                                
324; EDDING                                                                                               
325; EDHESA                                                                                               
326; EICO                                                                                                 
327; EIKI                                                                                                 
328; EISER                                                                                                
329; EKTAG                                                                                                
330; EL ARCO                                                                                              
331; EL EJECUTIVO                                                                                         
332; ELE                                                                                                  
333; ELECTRO LUX                                                                                          
334; ELECTRONIC RFT                                                                                       
335; ELECTRO-VOICE                                                                                        
336; AQUATRONIC                                                                                           
337; ELKHART INDIANA                                                                                      
338; ELM AUTOMATIC                                                                                        
339; ELMO                                                                                                 
340; ELTEC                                                                                                
341; EM                                                                                                   
342; EMC                                                                                                  
343; EMERSON                                                                                              
344; EMG                                                                                                  
345; EMPIRE                                                                                               
346; EMPIRE SUPREME                                                                                       
347; EMPRESARIAL                                                                                          
348; ENCORE CLARKE                                                                                        
349; ENERGEX                                                                                              
350; ENERGY                                                                                               
351; ENLAGER                                                                                              
352; ENTERPRISE                                                                                           
353; ENVISION                                                                                             
354; EPPENDORF                                                                                            
355; EPSON                                                                                                
356; EQUINOX                                                                                              
357; EQUIPAR                                                                                              
358; EQUIPHOS                                                                                             
359; ERBE                                                                                                 
360; ERCEV                                                                                                
361; ERGON                                                                                                
362; ERICSSON                                                                                             
363; ESSELTE                                                                                              
364; ESTAVOL                                                                                              
365; ESTEREO AIDS                                                                                         
366; ETERNA                                                                                               
367; ETONA 88                                                                                             
368; ETOTH                                                                                                
369; EXPERT                                                                                               
370; EXTECH                                                                                               
371; EXTROM                                                                                               
372; FACE STANDARD                                                                                        
373; FACIT                                                                                                
374; FAGLE                                                                                                
375; FANEH                                                                                                
376; FANEM                                                                                                
377; FANON                                                                                                
378; FARABE                                                                                               
379; FARNELL                                                                                              
380; FARNS WORTH MUNSELL                                                                                  
